Id,Atleta Nombre y Apellidos,Repres. Nombre y Apellidos,Año Nac.,Tel.,Correo,Licencia no.,Categoría,DNI,Equipo
4162,SFGHDFGH DFGH DFG ,SFGHDFGH DFGH DFG,2002,34576347245,jtoirac@gmail.com,,CADETE,34563456,
4163,SFGHDFGH DFGH DFG ,SFGHDFGH DFGH DFG,2002,34576347245,jtoirac@gmail.com,,CADETE,34563456,
4165,ADSGFA SDGFAS DFSD ,ADSGFA SDGFAS DFSD,2002,347345734,jtoirac@gmail.com,,CADETE,4567356,equipo santo
4166,SDFHSD HGSDF S ,ADSGFA SDGFAS DFSD,2002,347345734,jtoirac@gmail.com,,CADETE,4568456,equipo santo
4167,DSRTSETYSRYHSRT ,ADSGFA SDGFAS DFSD,2002,347345734,jtoirac@gmail.com,,CADETE,5678467,equipo santo
4168,NBMTYRTJEDRT ,ADSGFA SDGFAS DFSD,2002,347345734,jtoirac@gmail.com,,CADETE,6095674,equipo santo
4169, ,ADSGFA SDGFAS DFSD,2002,347345734,jtoirac@gmail.com,,CADETE,,equipo santo
4170, ,ADSGFA SDGFAS DFSD,2002,347345734,jtoirac@gmail.com,,CADETE,,equipo santo
4171,ASDGA GADSG ADS ,ASDGA GADSG ADS,2000,4568734724,jtoirac@gmail.com,,JUVENIL JUNIOR,4835745,salto gran
4172,DFNGSFDGNS ,ASDGA GADSG ADS,1998,4568734724,jtoirac@gmail.com,,JUVENIL JUNIOR,5479845687,salto gran
4173,XXDF HSH SRT ,ASDGA GADSG ADS,1999,4568734724,jtoirac@gmail.com,,JUVENIL JUNIOR,96578456745,salto gran
4174, ,ASDGA GADSG ADS,1998,4568734724,jtoirac@gmail.com,,JUVENIL JUNIOR,,salto gran
4175, ,ASDGA GADSG ADS,1998,4568734724,jtoirac@gmail.com,,JUVENIL JUNIOR,,salto gran
4176, ,ASDGA GADSG ADS,1998,4568734724,jtoirac@gmail.com,,JUVENIL JUNIOR,,salto gran
4177,GDFG HDFS HS ,GDFG HDFS HS,2002,3476246243,asdf@stwer.fgf,,CADETE,6587467,srtywery
4178,NTRNETNE ,GDFG HDFS HS,2002,3476246243,asdf@stwer.fgf,,CADETE,57435673,srtywery
4179,DHRSDTYDETR ,GDFG HDFS HS,2002,3476246243,asdf@stwer.fgf,,CADETE,5678456,srtywery
4180,DGHSGHWER ,DGHSGHWER,2004,347624672345,dnsdfbsdf@sdfg.fgj,,INFANTIL,8567845835,
